Alemão,Português
danach,Depois disso
funktioniert,funções
hattest,odiar
lernen,aprender
deswegen,devido a esta
wow,Uau
nennen,nomear
hm,HM
feuer,fogo
laufen,correr
alleine,sozinho
erinnern,lembrar
völlig,completamente
kleines,pequeno
könnt,pode
stelle,Trabalho
kumpel,Cara
verlieren,perder
probleme,problemas
spricht,fala
kaffee,café
luft,ar
fand,encontrado
i,EU
entschuldige,desculpa
ziehen,puxar
verschwinden,desaparecer
könntest,poder
seht,olhar
aufhören,parar
eigenen,ter
richtige,o certo
unserem,nosso
suche,procurar
zwar,aquilo é
groß,grande
hol,testa
buch,um livro
krank,doente
fühle,sentir
jedes,todo
verstehst,entender
wert,valor
arzt,médico
froh,alegre
versuche,tentar
straße,rua
rufen,chamar
heiraten,casar
super,Excelente
sam,Sam
lebt,vidas
gutes,bom
lasse,deixar
onkel,tio
total,total
gebracht,trouxe
party,festa
erklären,explicar
spielt,tocam
wahl,escolha
vertrauen,confiar
damals,naquela hora
tagen,dias
leicht,luz
nachdem,depois
gegangen,foi
gefühl,sentimento
kaufen,comprar
geschafft,feito
typen,cara
interessiert,interessado
möchten,gostaria
halte,segurar
hält,segura
glaub,crença
irgendwo,em algum lugar
stück,pedaço
genauso,assim como
kennt,sabe
genommen,levado
zukunft,futuro
weniger,menos
cool,legal
licht,luz
getroffen,conheceu
himmel,paraíso
nachricht,notícias
drüben,lá
passt,encaixa
sagten,disse
kümmern,cuide de
laut,alto
vergiss,esquecido
angerufen,chamado
sitzen,sentar
daß,que
erde,terra
großer,maior
schlüssel,chave
rest,descansar
passieren,acontecer
eher,em vez de
gefragt,perguntado
gefängnis,cadeia
opfer,vítima
körper,corpo
solche,tal
mist,droga
mr,senhor
findet,encontrar
schreiben,escrever
böse,significar
gesprochen,falada
versuch,tentar
vorstellen,introduzir
wovon,Sobre o que
sobald,tão logo
nochmal,outra vez
herren,masculino
sex,sexo
waffen,armas
wohnung,apartamento
weh,dolorido
heißen,ser chamado
krankenhaus,hospital
bringe,trazer
höre,ouvir
millionen,milhões
klasse,aula
hart,duro
worden,perdido
sinn,senso
außerdem,além de que
verletzt,ferido
ändern,mudar
erfahren,experiência
tragen,carregar
wenigstens,pelo menos
vorsichtig,cauteloso
daddy,papai
stolz,orgulhoso
stark,forte
fällt,cair
möchtest,querer
leuten,pessoas
besonders,particularmente
schöne,amável
schicken,enviar
person,pessoa
schätze,apreciar
solange,desde que
länger,mais longo
großartig,ótimo
lacht,ri
anrufen,ligue
stand,estava em pé
redest,discurso
fühlen,sentir
erwartet,esperado
boden,chão
boss,chefe
stimme,voz
glaubt,acredita
still,quieto
sicherheit,segurança
setz,contexto
ma,MA
mund,boca
kämpfen,batalha
wisst,saber
lachen,rir
hörst,ouvir
zeug,coisas
lustig,diversão
umbringen,matar
sollst,minucioso
hasse,odiar
schlimm,Terrível
o,O
unglaublich,inacreditável
wärst,ser
laden,carregar
führen,liderar
gestorben,morreu
schauen,olhar
meinung,opinião
lesen,ler
mörder,assassino
frank,Frank
ähm,hum
geschehen,acontecer
geschäft,negócios
idiot,idiota
verzeihung,perdão
fliegen,voar
zeig,mostrar
team,equipe
general,em geral
mike,Mike
aufs,para
york,Iorque
vorher,antecipadamente
schluss,final
schneller,mais rapidamente
liebt,amado
verdient,merecido
mögen,como
meisten,maioria
denk,pensar
umgebracht,morto
perfekt,perfeito
versprochen,prometido
handy,móvel
hinten,traseira
monate,meses
erinnere,lembrar
acht,oito
arbeitet,está funcionando
fallen,cair
rufe,chamadas
nötig,necessário
a,A
mord,assassinato
heraus,fora daqui
tages,dia
unmöglich,impossível
liebling,querido
charlie,Charlie
tatsächlich,na verdade
folgen,consequências
bitten,solicitar
behalten,manter
nähe,proximidade
arbeite,trabalhar
joe,Joe
verdammte,droga
plötzlich,de repente
lebens,vida
hole,buraco
tisch,mesa
michael,Michael
hörte,ouviu
jemals,sempre
liegen,deitar
verkaufen,vender
gefährlich,perigoso
anfangen,começar
bekommt,recebe
machte,feito
ha,Ha
hotel,hotel
hilft,ajuda
werdet,tornar-se
meister,mestre
kampf,batalha
antwort,responder
konnten,poderia
geschickt,enviado
jedem,cada
obwohl,embora
sieben,Sete
komisch,engraçado
gewinnen,ganhar
ihres,dela
bezahlt,pago
you,Você
voller,cheio de
unterwegs,viajando
dumm,burro
ärger,agravamento
bild,foto
george,George
neu,novo
bezahlen,pagar
dagegen,contra isso
seien,ser
starb,morreu
tom,Tom
monaten,meses
leiche,cadáver
niemanden,ninguém
auge,olho
arschloch,Idiota
verheiratet,casado
peter,Peter
zieh,puxar
nimmt,leva
gerettet,resgatado
agent,agente
traum,sonhar
entscheidung,decisão
schlimmer,pior
regeln,regras
fenster,janela
fangen,pegar
fort,sobre
ständig,constante
findest,encontrar
gefahr,perigo
absolut,absolutamente
mary,Mary
augenblick,momento
bescheid,perceber
rum,rum
gedanken,pensamentos
werd,Werry
ziel,meta
benutzt,usado
bewegung,movimento
jemandem,alguém
wünschte,desejar
worte,palavras
kamen,veio
welcher,qual
zahlen,pagar
anfang,começo
legen,lugar
erinnerst,lembrado
anwalt,advogado
fahr,dirigindo
sitzt,sentado
hilf,ajuda
offen,abrir
schönen,lindo
monsieur,Monsieur
müsste,deve
arme,pobre
bier,cerveja
fürs,para
partner,parceiro
klein,pequeno
david,David
klappe,FLAP
süß,doce
herum,HERABOUTS
finger,dedo
ehe,antes
rolle,papel
ließ,esquerda
gleiche,mesmo
monat,mês
hochzeit,casado
max,Máx
führt,pistas
paris,Paris
wach,acordado
wozu,por que razão
arm,pobre
geschrieben,escrito
chef,chefe
benutzen,usar
informationen,Informação
erledigt,concluído
hoffentlich,esperançosamente
müsst,deve
fühlt,sentimentos
tanzen,dança
ansehen,visualizar
darfst,poderia
zuhause,em casa
wunderbar,maravilhoso
hältst,segurar
reise,viagem
gewonnen,ganho
dame,senhora
irgendwann,às vezes
chffffff,Chffffff
alex,Alex
steckt,conectado
jedenfalls,em todo o caso
schreit,chora
tolle,ótimo
rüber,sobre
tschüss,tchau
nennt,nomes
raum,espaço
heiß,quente
foto,foto
kalt,frio
paul,Paulo
irgendetwas,qualquer coisa
weile,enquanto
bisher,até agora
minute,minuto
unbedingt,absolutamente
zug,trem
sekunden,segundos
wofür,para que
erzähl,dizer
nen,Nen
beweise,provas
nahm,pegou
aller,todos
freut,é feliz
seele,alma
schießen,atirar
müde,cansado
dauert,dura
magst,como
harry,atormentar
brief,carta
gelernt,aprendido
sucht,procura
bekannt,conhecido
weitere,avançar
unfall,acidente
dahin,então
kontrolle,ao controle
beispiel,exemplo
lady,senhora
dasselbe,a mesma coisa
herzen,coração
schlagen,bater
wütend,furioso
weise,caminho
damen,senhoras
darin,nisso
gottes,Deus
holt,pegar
fehlt,está desaparecido
vorsicht,Cuidado
heiße,nome é
beweisen,provar
gehabt,tive
zumindest,pelo menos
vermisst,ausente
hübsch,bonito
kriegt,recebe
verbindung,conexão
tief,profundo
richtung,direção
lage,localização
sowieso,de qualquer forma
kraft,poder
normal,normal
lauf,correr
ehre,honra
stell,parar
geschenk,presente
bar,bar
tasche,bolsa
gelesen,leu
gekauft,comprado
wussten,sabia
gestohlen,roubado
hunger,fome
leg,perna
lügen,mentira
beziehung,relação
ben,Ben
verschwunden,desaparecido
steh,de pé
nächstes,próximo
gearbeitet,trabalhado
preis,preço
witz,piada
meinte,significou
liste,lista
geist,espírito
neben,ao lado de
gesucht,procurado
firma,empresa
süße,Doçura
rücken,mover
schrecklich,Terrível
letzter,durar
verliebt,apaixonado
öffnen,abrir
redet,conversando
boot,barco
seltsam,estranho
versteckt,escondido
fürchte,temer
verschwinde,desaparecer
erwischt,capturado
verkauft,vendido
tante,tia
erwarten,esperar
pferd,cavalo
wunder,maravilha
sauer,azedo
vermutlich,alegadamente
näher,mais perto
major,principal
jung,jovem
majestät,majestade
aussehen,olhar
ans,Ans
de,de
and,e
links,Esquerda
großes,grande
welches,qual
beschützen,proteger
geboren,nascer
erreichen,alcançar
punkt,apontar
kindern,crianças
kirche,igreja
verraten,revelar
selber,ele mesmo
befehl,comando
colonel,coronel
fährt,movimentos
zieht,puxar
geburtstag,aniversário
haut,pele
wette,aposta
reich,rico
sekunde,segundo
fahre,dirigir
schwöre,jurar
geredet,falou
james,James
madame,Madame
eigene,ter
zeiten,vezes
traurig,triste
anruf,chamada telefónica
nachrichten,notícias
frieden,paz
karte,mapa
güte,qualidade
euren,seu
diesmal,desta vez
schade,Pena
persönlich,pessoal
kriege,Guerras
stirbt,morre
bleibe,ficar
verändert,mudanças
sonne,sol
lieb,querido
nämlich,nomeadamente
letztes,durar
bekam,pegou
ruft,chamadas
professor,professor
gericht,tribunal
nase,nariz
ewig,eterno
singen,cantar
bank,Banco
beschäftigt,ocupado
computer,computador
yeah,sim
toten,matar
weihnachten,Natal
offensichtlich,aparentemente
naja,Ah bem
henry,Henry
gefühle,sentimentos
fuß,pé
show,mostrar
überraschung,surpresa
geheimnis,segredo
fbi,FBI
kontakt,Contato
gold,ouro
drogen,drogas
regierung,governo
wein,vinho
kriegst,pegar
ermordet,assassinado
fotos,fotos
entfernt,removido
geschlafen,dormiu
manche,alguns
erledigen,completo
ran,corrido
gegenüber,atravessar de
schlaf,dormir
lust,desejo
wunderschön,lindo
witzig,engraçado
nick,usuario
zerstört,destruído
übrigens,por falar nisso
willen,interesse
heim,lar
richtigen,certo
deines,seu
namens,chamado
zeigt,shows
geliebt,amado
gehören,pertencer
brachte,trouxe
herrn,Senhor
blick,visualizar
besuch,Visita
schlechte,ruim
bewegen,mover
haare,cabelo
antworten,responder
präsident,Presidente
sagtest,diz
hoffnung,ter esperança
stecken,colocar
lebe,ao vivo
rechts,Para a direita
interessant,Interessante
entscheiden,decidir
miteinander,comum
meint,significa
liebst,amoroso
indem,no qual
bleibst,ficar
kümmere,Cuidado
wohnen,residir
weder,nenhum
möglichkeit,possibilidade
kaputt,quebrado
bekomme,Pegar
flugzeug,avião
vergangenheit,passado
anderer,outro
zweite,segundo
armee,exército
jim,Jim
tee,chá
entweder,qualquer
weiss,branco
don,Vestir
detective,detetive
aufhalten,parar
stellt,lugares
verspreche,promessa
überrascht,surpreso
sauber,limpar
hau,capuz
mark,marca
schlag,soco
sheriff,xerife
untertitel,legenda
setzt,coloca
frag,pergunta
vaters,pai
nervös,nervoso
gesellschaft,empresa
verstecken,esconder
schuldig,culpado
hals,pescoço
schützen,proteção
besuchen,Visita
of,de
passen,ajustar
überleben,sobreviver
erhalten,receber
teilen,dividir
gebäude,prédio
schicksal,destino
zeichen,sinal
richter,juiz
besorgt,preocupado
küche,cozinha
lief,corrido
vergnügen,prazer
wüsste,desejo
volk,pessoas
lhr,LHR
herausfinden,descobrir
königin,rainha
soldaten,soldados
feiern,comemoro
situation,situação
lag,atraso
gelassen,calmamente
allerdings,no entanto
soweit,até aqui
gefahren,dirigido
verstand,entendimento
bord,quadro
schönes,legal
jimmy,Jimmy
billy,Billy
angefangen,BEDUN
lee,Lee
fühlst,sentir
bob,prumo
mussten,tive
rat,conselho
worauf,portanto
gebeten,Requeridos
tony,Tony
kamera,Câmera
achtung,perigo
lieutenant,tenente
ganzes,todo
schuhe,sapato
sarah,Sarah
glückwunsch,Parabéns
niemandem,ninguém
gibst,dar
statt,em vez de
übernehmen,assumir
gegend,área
wald,floresta
al,al
la,la
nimmst,pegar
danny,Danny
erkennen,reconhecer
glas,vidro
falsche,falso
verantwortlich,responsável
jesus,Jesus
stöhnt,gemido
herein,em
kleid,um vestido
zerstören,destruir
jawohl,"sim, de fato"
london,Londres
gegessen,comido
abendessen,jantar
gesetz,lei
gemeinsam,junto
geholfen,útil
erster,primeiro
wohnt,vidas
schritt,etapa
guck,olhar
nahe,proximidade
aussieht,visual
beginnen,começar
dachten,pensamento
band,fita
ungefähr,aproximadamente
aufgabe,tarefa
neun,nove
furchtbar,Terrível
drinnen,dentro
zuvor,antes
charles,Charles
freue,estou feliz
amerika,América
übrig,sobrou
spur,acompanhar
falschen,falso
sergeant,sargento
melden,relatório
helfe,ajuda
werfen,lançar
bill,conta
haltet,segurar
erinnert,lembrar
hängt,pendura
freude,alegria
ehemann,marido
erschossen,tomada
verzeihen,perdão
schwein,porco
uh,uh
monster,monstro
entschieden,decidido
mission,missão
verdammten,droga
brauch,personalizado
gewusst,sabia
vorne,em frente
stopp,parar
übel,ruim
schlampe,vagabunda
schöner,Mais bonito
adresse,endereço
unsinn,Absurdo
messer,faca
gesund,saudável
respekt,respeito
pro,Por
leisten,dispor
davor,antes
richard,Richard
bedeuten,significar
ball,bola
mitnehmen,levar
gespielt,jogado
to,para
schwierigkeiten,dificuldades
hälfte,metade
kannte,sabia
stehe,de pé
maria,Maria
planeten,planeta
schwanger,grávida
gruppe,grupo
anna,Anna
verhaftet,preso
deal,negócio
seines,dele
irgendwelche,qualquer
händen,mãos
versteht,entende
drehen,vez
eis,gelo
danken,agradecer
erfolg,sucesso
zufrieden,satisfeito
schließen,fechar
besorgen,obtivermos
wochenende,fim de semana
worüber,sobre o que
stimmen,Vozes
nehmt,pegar
martin,Martin
m,M
witze,piadas
beine,pernas
verbrechen,crime
bericht,relatório
nachts,à noite
eurer,seu
prinzessin,princesa
schmerz,dor
klingelt,argolas
position,posição
echte,real
gleichen,assemelhar -se
fernsehen,televisão
wünsche,desejos
schließlich,finalmente
gefangen,capturado
schätzchen,bebê
seh,ver
schwierig,difícil
angebot,oferecer
nah,fechar
jane,Jane
gewartet,esperou
kümmert,cuida
ring,anel
rennen,correr
lied,canção
eier,ovo
welchen,qual
sorry,desculpe
fantastisch,fantástico
schaut,visual
hielt,mantido
falle,casos
drink,bebida
insel,ilha
dauern,durar
daher,portanto
zufällig,coincidentemente
dorf,Vila
clark,Clark
bewegt,emocional
mitten,No meio
bullen,policiais
feind,inimigo
einverstanden,acordado
neuer,notícias
bauen,construir
trägt,carrega
hängen,pendurar
freunden,amigos
deren,cujo
halb,metade
verpasst,perdido
sprach,discurso
leise,quieto
armen,braço
wusstest,teste de mastigação
fanden,encontrado
unternehmen,empresa
träume,sonhos
schläft,está dormindo
kostet,custos
spiele,jogos
unseres,nosso
entlang,junto
johnny,Johnny
versprechen,promessa
tiere,animais
freiheit,liberdade
verdienen,ganhar
aha,AHA
unterhalten,conversar
eingeladen,convidamos
schaden,dano
genannt,chamado
beenden,fim
ray,raio
geändert,mudado
thomas,Thomas
lächerlich,ridículo
geschlagen,espancado
park,parque
schätzen,tesouro
männern,macho
t,T
beginnt,começa
ehren,para honrar
größte,o melhor
energie,energia
fleisch,carne
besonderes,especial
besteht,consiste
reichen,são suficientes
robert,Robert
zeitung,jornal
worum,o que
nachgedacht,considerado
betrunken,bêbado
sowas,assim
patienten,paciente
gespräch,conversação
leiden,Sofrer
taxi,Táxi
tötet,morto
see,lago
unterschied,diferença
wind,vento
singt,canta
schreien,gritar
daniel,Daniel
sahen,serra
wand,parede
bus,ônibus
lhre,lhre
angriff,ataque
verhalten,comportar-se
loch,buraco
interesse,interesse
treten,etapa
quatsch,Absurdo
trifft,encontra
polizist,policial
blumen,flor
neuigkeiten,notícias
bringst,traz
flasche,garrafa
rief,chamado
schuss,tomada
fassen,entender
meer,mar
konntest,pode
schafft,cria
maschine,máquina
spreche,falar
bein,perna
eddie,Eddie
bekommst,pegar
verbringen,gastar
bücher,Livros
blöd,bobagem
frühstück,café da manhã
tommy,Tommy
meter,metro
bilder,fotos
aufpassen,assistir depois
claire,Claire
dessen,cujo
muß,deve
freuen,seja feliz
engel,Anjo
offenbar,aparentemente
gelegenheit,oportunidade
fang,pegar
lüge,mentira
ohren,ouvidos
au,Au
angetan,impressionado
beeil,pressa
brechen,quebrar
brüder,irmãos
zeitpunkt,tempo
keinem,nenhum
ecke,canto
brücke,ponte
druck,imprimir
mitgebracht,trouxe
seufzt,suspirar
date,data
haufen,pilha
oma,avó
auftrag,ordem
leer,vazio
entkommen,escapar
bobby,Bobby
weißen,branco
lösung,solução
wart,verruga
pause,Quebrar
irre,louco
gestellt,colocada
keller,"Porão, adega"
gebrochen,Quebrado
weinen,chorar
nutzen,usar
wünschen,desejar
fragt,pergunta
maul,boca
verantwortung,responsabilidade
schloss,trancar
hut,boné
lächeln,sorriso
ryan,Ryan
red,vermelho
grad,Grau
zweiten,segundo
hinaus,fora de
mitkommen,venha comigo
vorhin,antecipadamente
fahrt,dirigir
gemeint,significou
ernsthaft,seriamente
gebaut,construído
bombe,bombear
hasst,odiar
versteh,entender
kosten,custos
zeige,mostrar
traf,conheceu
eigenes,ter
haar,cabelo
fragte,perguntado
jason,Jason
operation,cirurgia
befehle,comandos
schmerzen,dores
erklärt,explicado
steve,Steve
dach,teto
folge,consequência
gelaufen,corrido
schwarze,preto
dankbar,grato
gehirn,cérebro
töte,matando
mädels,garotas
mut,coragem
heilige,sagrado
laura,Laura
tier,animal
system,sistema
mannes,homem
wahnsinn,loucura
nee,não
rose,rosa
club,clube
geschlossen,fechado
hintern,bunda
is,é
thema,tema
fiel,caiu
gehalten,mantido
dorthin,lá
urlaub,férias
steig,escalar
vorwärts,avançar
überprüfen,conferir
besseres,melhorar
beweis,prova
baum,árvore
gebt,dando
funktionieren,função
anscheinend,aparentemente
lehrer,professor
hoffen,ter esperança
bessere,melhorar
isst,come
nachmittag,tarde
nem,Nem
risiko,risco
chuck,mandril
knast,cadeia
entschuldigt,desculpe
gilt,é aplicável
held,herói
daraus,a partir disso
erstes,primeiro
fräulein,jovem
rachel,asa
prima,multar
brauchte,necessário
gewalt,força
dean,reitor
liebes,Querido
schaffst,gerenciar
nachdenken,ponderar
tor,meta
erfahrung,experiência
pläne,planos
jagen,caçar
katze,gato
runde,redondo
deutsche,Alemão
schwanz,cauda
taten,agir
lord,senhor
dringend,urgente
commander,comandante
großvater,avô
sommer,verão
gezeigt,mostrando
hinterlassen,deixar para trás
gewissen,consciência
getrunken,bêbado
wahre,real
luke,Escotilha
kunden,clientes
kate,Kate
zeugen,testemunha
